age,gender,breed,weight,symptoms,diseases
7,female,bengal,5.2,"hair loss, itching",skin allergy
1,male,maine coon,4.6,"lethargy, vomiting, weight loss","chronic kidney disease, gastritis"
12,female,persian,5.1,"diarrhea, weight loss",worm infestation
12,male,maine coon,3.9,"blood in urine, frequent urination, painful urination",urinary tract infection
5,male,maine coon,4.2,"squinting, weight loss","chronic kidney disease, feline conjunctivitis"
15,female,siamese,3.6,"diarrhea, fever, lethargy, vomiting","anemia, chronic kidney disease, feline panleukopenia"
5,female,bengal,3.8,"diarrhea, lethargy, loss of appetite, vomiting, weight loss","chronic kidney disease, gastritis, worm infestation"
2,male,bengal,4.8,"blood in urine, hair loss, itching, red eyes, squinting","feline conjunctivitis, skin allergy, urinary tract infection"
9,male,persian,2.7,"eye discharge, hair loss, itching, lethargy, red eyes, red skin, squinting","anemia, feline conjunctivitis, skin allergy"
6,male,persian,4.8,"fever, hair loss, itching, red skin","feline panleukopenia, skin allergy"
10,female,indian domestic,3.5,"lethargy, sunken eyes",dehydration
10,female,siamese,3.4,"lethargy, nasal discharge, pale gums, weakness","anemia, upper respiratory infection"
11,male,persian,4.3,weight loss,chronic kidney disease
13,female,maine coon,5.4,increased thirst,chronic kidney disease
1,female,bengal,4.5,"blood in urine, sunken eyes","dehydration, urinary tract infection"
8,male,maine coon,5.3,"hair loss, lethargy, loss of appetite, pale gums, weakness","anemia, gastritis, skin allergy"
8,female,indian domestic,6.7,"blood in urine, eye discharge, frequent urination","feline conjunctivitis, urinary tract infection"
2,female,maine coon,3.2,"dry gums, eye discharge, fever, lethargy, red eyes, sneezing, squinting","dehydration, feline conjunctivitis, upper respiratory infection"
4,female,persian,5.0,"lethargy, sunken eyes",dehydration
11,male,siamese,4.5,"itching, red skin",skin allergy
7,female,indian domestic,3.6,"bloated abdomen, diarrhea, weight loss",worm infestation
9,female,maine coon,6.7,"dry gums, hair loss, itching, lethargy, red eyes, squinting, sunken eyes","dehydration, feline conjunctivitis, skin allergy"
15,male,maine coon,6.6,"blood in urine, frequent urination",urinary tract infection
3,male,bengal,3.7,"dry gums, fever, nasal discharge, sneezing, sunken eyes","dehydration, upper respiratory infection"
7,female,siamese,3.6,"fever, lethargy, sneezing, vomiting","feline panleukopenia, gastritis, upper respiratory infection"
3,female,siamese,6.7,"diarrhea, lethargy, pale gums","anemia, dehydration, feline panleukopenia"
2,female,persian,3.1,"bloated abdomen, diarrhea, lethargy, loss of appetite, weight loss","gastritis, worm infestation"
5,male,maine coon,4.9,red skin,skin allergy
15,female,siamese,6.9,"eye discharge, fever, lethargy, pale gums, red eyes, squinting, weakness","anemia, feline conjunctivitis, feline panleukopenia"
5,female,bengal,2.8,"fever, lethargy",feline panleukopenia
8,female,siamese,3.0,"blood in urine, painful urination",urinary tract infection
12,female,persian,5.5,"eye discharge, increased thirst, lethargy, red eyes, squinting, weakness, weight loss","anemia, chronic kidney disease, feline conjunctivitis"
9,male,indian domestic,5.2,"bloated abdomen, diarrhea, lethargy, pale gums, weakness, weight loss","anemia, worm infestation"
8,female,indian domestic,3.8,"blood in urine, eye discharge, frequent urination, painful urination, squinting","feline conjunctivitis, urinary tract infection"
8,male,indian domestic,6.3,"diarrhea, dry gums, fever, lethargy","dehydration, feline panleukopenia"
15,male,persian,6.4,"bloated abdomen, pale gums, weakness, weight loss","anemia, worm infestation"
5,male,indian domestic,6.8,"blood in urine, fever, lethargy, loss of appetite, nasal discharge, painful urination, sneezing, vomiting","gastritis, upper respiratory infection, urinary tract infection"
2,male,bengal,5.3,"bloated abdomen, diarrhea, sunken eyes, weight loss","dehydration, worm infestation"
11,female,indian domestic,3.8,"diarrhea, fever, vomiting",feline panleukopenia
15,male,indian domestic,5.9,"diarrhea, weight loss",worm infestation
7,male,indian domestic,6.4,"bloated abdomen, diarrhea, fever, lethargy, loss of appetite, vomiting","feline panleukopenia, gastritis, worm infestation"
4,female,bengal,5.2,"hair loss, increased thirst, itching, lethargy, loss of appetite, red skin, vomiting","chronic kidney disease, gastritis, skin allergy"
7,male,bengal,6.8,"fever, weight loss","chronic kidney disease, feline panleukopenia"
5,female,bengal,6.3,"diarrhea, eye discharge, lethargy, pale gums, squinting, weakness","anemia, feline conjunctivitis, feline panleukopenia"
6,female,maine coon,3.6,fever,upper respiratory infection
7,female,siamese,5.5,red eyes,feline conjunctivitis
11,male,siamese,5.8,"diarrhea, lethargy, pale gums, vomiting","anemia, feline panleukopenia"
12,male,persian,4.1,"eye discharge, red eyes, sneezing, squinting","feline conjunctivitis, upper respiratory infection"
3,female,persian,5.4,"bloated abdomen, lethargy, weakness","anemia, worm infestation"
4,male,bengal,6.7,"diarrhea, fever, lethargy, nasal discharge, sneezing","feline panleukopenia, upper respiratory infection"
1,female,indian domestic,5.0,"dry gums, sunken eyes",dehydration
7,female,siamese,6.8,"diarrhea, lethargy, sunken eyes","dehydration, worm infestation"
6,female,bengal,4.5,"diarrhea, eye discharge, fever, lethargy, red eyes, squinting, vomiting","feline conjunctivitis, feline panleukopenia"
11,male,siamese,4.4,squinting,feline conjunctivitis
2,female,persian,2.9,"diarrhea, dry gums, fever, lethargy, weight loss","dehydration, upper respiratory infection, worm infestation"
3,female,siamese,3.3,"bloated abdomen, increased thirst, lethargy, weight loss","chronic kidney disease, worm infestation"
5,female,maine coon,3.6,"bloated abdomen, diarrhea, hair loss, itching, red skin, weight loss","chronic kidney disease, skin allergy, worm infestation"
3,male,maine coon,3.0,"dry gums, hair loss, increased thirst, lethargy, weight loss","chronic kidney disease, dehydration, skin allergy"
7,male,maine coon,5.4,"blood in urine, frequent urination, hair loss, painful urination, red skin","skin allergy, urinary tract infection"
6,female,bengal,3.0,"blood in urine, dry gums, lethargy, sunken eyes","dehydration, urinary tract infection"
5,male,maine coon,6.6,"lethargy, pale gums, weakness",anemia
11,female,bengal,4.4,"diarrhea, pale gums, weakness, weight loss","anemia, worm infestation"
1,male,siamese,3.3,"lethargy, loss of appetite, pale gums, vomiting, weakness","anemia, gastritis"
10,male,siamese,6.8,"lethargy, weakness",anemia
8,male,maine coon,6.8,"bloated abdomen, diarrhea, weight loss",worm infestation
7,female,maine coon,3.2,"fever, nasal discharge, sneezing",upper respiratory infection
12,male,indian domestic,3.2,"eye discharge, increased thirst, lethargy, squinting","chronic kidney disease, feline conjunctivitis"
13,male,maine coon,2.7,"bloated abdomen, diarrhea, weight loss",worm infestation
6,male,persian,4.0,nasal discharge,upper respiratory infection
13,female,bengal,5.4,"eye discharge, red eyes",feline conjunctivitis
14,male,siamese,5.5,"blood in urine, frequent urination, weakness","anemia, urinary tract infection"
6,female,indian domestic,6.9,"lethargy, vomiting, weakness","anemia, feline panleukopenia, gastritis"
3,female,siamese,6.9,"hair loss, itching, red skin",skin allergy
7,male,persian,4.7,"bloated abdomen, diarrhea",worm infestation
5,female,bengal,4.1,weight loss,"chronic kidney disease, worm infestation"
9,male,siamese,4.4,"blood in urine, frequent urination, increased thirst, lethargy, nasal discharge, painful urination, weight loss","chronic kidney disease, upper respiratory infection, urinary tract infection"
12,male,siamese,4.1,"blood in urine, frequent urination, painful urination",urinary tract infection
2,female,persian,6.1,"eye discharge, red eyes, squinting, sunken eyes","dehydration, feline conjunctivitis"
15,male,persian,4.1,"eye discharge, hair loss, itching, red eyes","feline conjunctivitis, skin allergy"
11,male,bengal,4.5,"blood in urine, diarrhea, fever, frequent urination, lethargy, nasal discharge, sneezing, vomiting","feline panleukopenia, upper respiratory infection, urinary tract infection"
2,female,persian,6.7,"hair loss, itching, pale gums, weakness","anemia, skin allergy"
14,female,siamese,2.6,red eyes,feline conjunctivitis
4,male,siamese,5.2,"eye discharge, red eyes, squinting",feline conjunctivitis
4,male,indian domestic,4.0,"diarrhea, dry gums, itching, red skin, vomiting","dehydration, feline panleukopenia, skin allergy"
9,female,persian,5.4,"bloated abdomen, diarrhea, lethargy, sunken eyes, weight loss","dehydration, worm infestation"
5,male,bengal,4.8,"red eyes, squinting",feline conjunctivitis
4,female,bengal,3.9,"blood in urine, diarrhea, eye discharge, lethargy, squinting, vomiting","feline conjunctivitis, feline panleukopenia, urinary tract infection"
14,female,bengal,6.2,"eye discharge, fever, lethargy, nasal discharge, red eyes, sneezing, squinting, sunken eyes","dehydration, feline conjunctivitis, upper respiratory infection"
11,female,maine coon,4.1,"blood in urine, frequent urination, lethargy, painful urination","dehydration, urinary tract infection"
14,male,indian domestic,6.4,"diarrhea, fever, lethargy",feline panleukopenia
10,male,maine coon,2.7,"dry gums, lethargy, sunken eyes",dehydration
8,male,bengal,3.4,"eye discharge, lethargy, red eyes, weakness","anemia, feline conjunctivitis"
14,male,bengal,5.7,"diarrhea, fever, hair loss, lethargy, sneezing, vomiting","feline panleukopenia, skin allergy, upper respiratory infection"
1,female,bengal,5.5,"blood in urine, diarrhea, fever, frequent urination, lethargy, sunken eyes, vomiting","dehydration, feline panleukopenia, urinary tract infection"
13,female,persian,2.6,"bloated abdomen, diarrhea, fever, lethargy, vomiting, weight loss","feline panleukopenia, worm infestation"
3,female,bengal,3.0,"bloated abdomen, weight loss",worm infestation
8,male,indian domestic,3.6,"frequent urination, painful urination",urinary tract infection
3,male,bengal,3.5,lethargy,anemia
9,male,persian,5.2,"diarrhea, lethargy, nasal discharge, sneezing","chronic kidney disease, upper respiratory infection, worm infestation"
4,male,maine coon,6.1,"diarrhea, dry gums, fever, lethargy, vomiting","chronic kidney disease, dehydration, feline panleukopenia"
4,male,indian domestic,5.4,"diarrhea, fever, lethargy, red skin, sunken eyes","dehydration, feline panleukopenia, skin allergy"
4,male,maine coon,3.3,"fever, increased thirst, lethargy, nasal discharge, sneezing, weight loss","chronic kidney disease, gastritis, upper respiratory infection"
6,female,siamese,3.5,"bloated abdomen, diarrhea, lethargy, vomiting, weight loss","gastritis, worm infestation"
13,female,siamese,3.2,"red eyes, squinting",feline conjunctivitis
4,male,bengal,5.8,"lethargy, pale gums, weakness",anemia
9,female,bengal,4.1,"itching, red skin",skin allergy
4,female,maine coon,4.6,"frequent urination, increased thirst, lethargy, nasal discharge, weight loss","chronic kidney disease, upper respiratory infection, urinary tract infection"
7,female,indian domestic,4.0,"frequent urination, increased thirst, painful urination, red eyes, squinting","chronic kidney disease, feline conjunctivitis, urinary tract infection"
15,male,siamese,3.5,"blood in urine, painful urination, vomiting","gastritis, urinary tract infection"
3,female,indian domestic,3.0,"eye discharge, lethargy, loss of appetite, vomiting","feline conjunctivitis, gastritis"
10,female,siamese,3.4,"nasal discharge, pale gums, weakness","anemia, upper respiratory infection"
3,female,bengal,5.7,"diarrhea, vomiting",feline panleukopenia
13,female,siamese,5.3,"lethargy, loss of appetite, red eyes, vomiting, weakness","anemia, feline conjunctivitis, gastritis"
15,female,indian domestic,3.2,"diarrhea, fever, lethargy, vomiting","feline panleukopenia, upper respiratory infection"
4,female,persian,6.3,"frequent urination, increased thirst, painful urination, weight loss","chronic kidney disease, urinary tract infection"
9,male,bengal,4.1,"blood in urine, frequent urination, lethargy","gastritis, urinary tract infection"
8,male,siamese,4.1,"lethargy, red eyes","dehydration, feline conjunctivitis"
14,male,persian,4.1,diarrhea,worm infestation
3,male,siamese,4.5,"blood in urine, diarrhea, fever, frequent urination, lethargy, nasal discharge, painful urination, sneezing, vomiting","feline panleukopenia, upper respiratory infection, urinary tract infection"
10,male,siamese,6.9,"diarrhea, fever, lethargy, sunken eyes, vomiting, weight loss","chronic kidney disease, dehydration, feline panleukopenia"
13,male,siamese,4.6,squinting,feline conjunctivitis
1,female,maine coon,6.2,"lethargy, pale gums, weakness",anemia
8,male,bengal,6.7,"blood in urine, frequent urination",urinary tract infection
9,male,siamese,4.7,weakness,anemia
13,male,siamese,6.6,"fever, frequent urination, nasal discharge, sneezing","upper respiratory infection, urinary tract infection"
4,male,maine coon,4.0,"hair loss, increased thirst, itching, lethargy, loss of appetite, red skin, vomiting, weight loss","chronic kidney disease, gastritis, skin allergy"
2,female,bengal,6.5,"increased thirst, itching, lethargy","chronic kidney disease, gastritis, skin allergy"
12,female,indian domestic,6.1,"bloated abdomen, fever, weight loss","chronic kidney disease, upper respiratory infection, worm infestation"
13,male,persian,6.1,"pale gums, red eyes","anemia, feline conjunctivitis"
5,male,persian,6.2,"bloated abdomen, diarrhea, hair loss, itching, red skin, weakness","anemia, skin allergy, worm infestation"
10,female,maine coon,6.6,"diarrhea, fever, lethargy, nasal discharge, sneezing","anemia, feline panleukopenia, upper respiratory infection"
7,male,maine coon,6.6,"bloated abdomen, diarrhea, fever, lethargy, weight loss","feline panleukopenia, upper respiratory infection, worm infestation"
5,male,indian domestic,6.0,"diarrhea, fever, lethargy, vomiting",feline panleukopenia
15,male,siamese,6.1,"eye discharge, squinting",feline conjunctivitis
5,male,indian domestic,6.3,"bloated abdomen, hair loss","skin allergy, worm infestation"
3,female,siamese,5.4,"bloated abdomen, blood in urine, diarrhea, frequent urination, lethargy, pale gums, weakness, weight loss","anemia, urinary tract infection, worm infestation"
3,female,maine coon,5.4,"bloated abdomen, increased thirst, lethargy, red skin, weight loss","chronic kidney disease, skin allergy, worm infestation"
10,male,maine coon,3.8,"blood in urine, diarrhea, painful urination, vomiting","feline panleukopenia, urinary tract infection"
7,male,siamese,4.4,bloated abdomen,worm infestation
5,male,siamese,4.6,"diarrhea, fever, red eyes, sunken eyes, vomiting","dehydration, feline conjunctivitis, feline panleukopenia"
8,male,bengal,4.8,"loss of appetite, vomiting",gastritis
6,female,bengal,4.4,blood in urine,urinary tract infection
6,male,indian domestic,5.3,"sunken eyes, vomiting","dehydration, feline panleukopenia"
1,male,persian,2.8,blood in urine,urinary tract infection
2,male,persian,3.2,"bloated abdomen, diarrhea, hair loss, itching, sneezing, weight loss","skin allergy, upper respiratory infection, worm infestation"
2,male,persian,5.9,"bloated abdomen, blood in urine, diarrhea, frequent urination, increased thirst, lethargy, painful urination, weight loss","chronic kidney disease, urinary tract infection, worm infestation"
14,female,bengal,5.9,"frequent urination, hair loss, itching, painful urination, red skin","skin allergy, urinary tract infection"
15,male,persian,3.3,"lethargy, pale gums, weakness, weight loss","anemia, chronic kidney disease"
10,male,persian,4.7,"fever, lethargy, nasal discharge, red skin, vomiting","feline panleukopenia, skin allergy, upper respiratory infection"
12,female,maine coon,3.1,"lethargy, loss of appetite, nasal discharge, vomiting","chronic kidney disease, gastritis, upper respiratory infection"
9,female,bengal,3.8,"diarrhea, fever, lethargy, red eyes, squinting, vomiting","feline conjunctivitis, feline panleukopenia"
7,male,persian,2.8,"increased thirst, lethargy, weight loss",chronic kidney disease
3,male,indian domestic,6.8,"increased thirst, lethargy, weight loss",chronic kidney disease
8,female,maine coon,6.5,"increased thirst, lethargy",chronic kidney disease
3,male,indian domestic,3.9,bloated abdomen,worm infestation
10,female,maine coon,6.6,"hair loss, lethargy, red skin, weakness","anemia, gastritis, skin allergy"
10,male,maine coon,4.3,"frequent urination, nasal discharge, painful urination, weight loss","chronic kidney disease, upper respiratory infection, urinary tract infection"
9,male,bengal,5.9,"bloated abdomen, diarrhea, fever, lethargy, vomiting, weight loss","feline panleukopenia, worm infestation"
5,female,indian domestic,3.6,"diarrhea, fever, itching, lethargy, nasal discharge, red skin, sneezing, vomiting","feline panleukopenia, skin allergy, upper respiratory infection"
3,female,siamese,6.0,"blood in urine, fever, frequent urination, painful urination, sneezing","upper respiratory infection, urinary tract infection"
8,male,bengal,2.9,"pale gums, weakness",anemia
10,male,persian,6.1,"dry gums, lethargy, sunken eyes",dehydration
3,male,indian domestic,3.8,"blood in urine, frequent urination, lethargy, loss of appetite, painful urination, squinting, vomiting","feline conjunctivitis, gastritis, urinary tract infection"
7,female,bengal,6.8,bloated abdomen,worm infestation
12,female,bengal,2.7,"eye discharge, lethargy","dehydration, feline conjunctivitis"
