Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Nasal_Discharge,Eye_Discharge,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Body_Temperature,Heart_Rate,Disease_Prediction
Cat,Persian,3.2,Female,3.6,straining to urinate,crying while urinating,,,10 days,No,No,No,No,No,No,No,No,No,38.4°C,174,Feline Lower Urinary Tract Disease
Cat,Maine Coon,19.4,Male,4.6,increased thirst,poor appetite,bad breath,,147 days,No,No,Yes,Yes,No,No,No,No,No,37.6°C,149,Chronic Kidney Disease
Cat,Siamese,7.1,Male,3.7,anemia,,,,96 days,No,Yes,Yes,Yes,No,No,No,No,No,39.8°C,127,Feline Leukemia Virus
Cat,Persian,5.1,Female,4.0,abdominal pain,,,appetite loss,4 days,No,No,No,Yes,Yes,No,No,No,No,38.7°C,183,Gastroenteritis
Cat,Persian,2.5,Male,4.1,sneezing,appetite loss,coughing,,11 days,Yes,Yes,No,No,No,Yes,No,No,No,40.0°C,153,Upper Respiratory Infection
Cat,Oriental,8.1,Male,3.9,wheezing,,rapid breathing,rapid breathing,3 days,No,No,Yes,No,No,Yes,Yes,No,No,38.1°C,182,Asthma
Cat,Oriental,4.5,Male,5.0,drooling,bleeding gums,,,306 days,No,No,No,No,No,No,No,No,No,38.1°C,122,Dental Disease
Cat,Ragdoll,1.1,Male,7.1,straining to urinate,urinating outside box,,,12 days,No,No,No,No,No,No,No,No,No,38.9°C,165,Feline Lower Urinary Tract Disease
Cat,Bengal,14.7,Male,4.6,vomiting,diarrhea,,,289 days,No,No,No,No,Yes,No,No,No,No,39.0°C,180,Hyperthyroidism
Cat,Mixed,3.3,Male,4.7,lethargy,rapid breathing,,labored breathing,235 days,No,No,No,No,No,Yes,Yes,No,No,38.6°C,127,Asthma
Cat,Persian,5.1,Male,5.4,lethargy,,,weight loss,364 days,Yes,No,Yes,No,No,No,Yes,No,No,39.3°C,160,Feline Leukemia Virus
Cat,Ragdoll,3.2,Female,6.8,hair loss,excessive grooming,,,158 days,No,Yes,No,No,No,No,No,No,Yes,38.7°C,158,Skin Allergies
Cat,Oriental,7.0,Male,5.6,straining to urinate,crying while urinating,,urinating outside box,10 days,No,No,Yes,No,No,No,No,No,No,38.3°C,174,Feline Lower Urinary Tract Disease
Cat,Persian,7.0,Male,4.3,difficulty eating,bleeding gums,weight loss,,68 days,No,No,Yes,Yes,No,No,No,No,No,38.7°C,125,Dental Disease
Cat,Ragdoll,8.2,Male,6.5,skin lesions,scabs,,scabs,55 days,No,No,No,Yes,No,No,No,No,Yes,38.6°C,154,Skin Allergies
Cat,Birman,4.9,Male,3.6,diarrhea,appetite loss,,fever,2 days,No,No,Yes,Yes,Yes,No,No,No,No,39.6°C,162,Gastroenteritis
Cat,Siamese,2.6,Female,4.7,itching,red skin,hair loss,,144 days,No,No,No,Yes,No,No,No,No,Yes,38.6°C,145,Skin Allergies
Cat,Siamese,15.1,Female,3.1,weight loss,bad breath,,,105 days,No,No,Yes,Yes,No,No,No,No,No,37.9°C,146,Chronic Kidney Disease
Cat,American Shorthair,12.6,Female,3.6,vomiting,increased thirst,,,323 days,No,No,No,No,Yes,No,No,No,Yes,39.5°C,219,Hyperthyroidism
Cat,Siamese,8.0,Female,4.0,pawing at mouth,weight loss,,,84 days,No,No,No,No,No,No,No,No,No,38.4°C,187,Dental Disease
Cat,American Shorthair,14.3,Female,6.3,lethargy,exercise intolerance,,,246 days,No,No,No,No,No,Yes,Yes,No,No,38.2°C,162,Asthma
Cat,Scottish Fold,8.8,Male,3.5,increased urination,,,,136 days,No,No,Yes,No,No,Yes,No,No,No,38.7°C,158,Chronic Kidney Disease
Cat,Domestic Shorthair,4.8,Female,6.0,lethargy,poor appetite,,,232 days,No,No,Yes,No,No,No,No,No,No,39.5°C,130,Feline Leukemia Virus
Cat,Maine Coon,2.6,Female,5.8,licking genitals,urinating outside box,,licking genitals,6 days,No,No,No,Yes,No,No,No,No,No,38.3°C,151,Feline Lower Urinary Tract Disease
Cat,Persian,3.2,Male,4.5,diarrhea,appetite loss,diarrhea,,6 days,No,No,Yes,Yes,Yes,No,No,No,No,39.7°C,145,Gastroenteritis
Cat,Birman,1.7,Male,6.2,sneezing,appetite loss,eye discharge,,13 days,Yes,Yes,Yes,No,No,Yes,No,No,No,40.2°C,175,Upper Respiratory Infection
Cat,Scottish Fold,7.6,Female,6.6,lethargy,fever,,,2 days,No,No,No,Yes,Yes,No,No,No,No,38.7°C,147,Gastroenteritis
Cat,British Shorthair,10.6,Female,4.6,increased thirst,vomiting,,,155 days,No,No,Yes,No,No,Yes,No,No,No,38.4°C,167,Chronic Kidney Disease
Cat,Scottish Fold,12.3,Female,4.4,vomiting,,,,158 days,No,No,No,No,Yes,No,No,No,No,39.1°C,186,Hyperthyroidism
Cat,British Shorthair,7.3,Male,4.6,difficulty eating,,weight loss,,94 days,No,No,Yes,Yes,No,No,No,No,No,38.7°C,134,Dental Disease
Cat,Sphynx,3.9,Female,4.9,difficulty eating,appetite loss,,,315 days,No,No,No,No,No,No,No,No,No,38.2°C,199,Dental Disease
Cat,Birman,14.2,Male,3.9,sneezing,,,,3 days,Yes,Yes,Yes,Yes,No,Yes,No,No,No,39.8°C,200,Upper Respiratory Infection
Cat,Oriental,4.8,Male,5.3,frequent urination,crying while urinating,,,11 days,No,No,Yes,Yes,No,No,No,No,No,38.4°C,125,Feline Lower Urinary Tract Disease
Cat,Birman,7.4,Female,3.4,itching,scabs,excessive grooming,,58 days,No,No,No,No,No,No,No,No,Yes,38.3°C,133,Skin Allergies
Cat,Abyssinian,11.3,Female,3.9,bad breath,appetite loss,,,236 days,No,No,Yes,No,No,No,No,No,No,38.4°C,126,Dental Disease
Cat,Scottish Fold,11.2,Male,5.0,vomiting,,fever,,2 days,No,Yes,Yes,Yes,Yes,No,No,No,No,39.7°C,157,Gastroenteritis
Cat,British Shorthair,13.5,Female,4.8,increased urination,poor coat,,poor coat,65 days,No,No,No,No,No,No,No,No,No,38.8°C,182,Diabetes Mellitus
Cat,Bengal,7.1,Female,5.2,pawing at mouth,weight loss,difficulty eating,,149 days,No,No,Yes,No,No,No,No,No,No,38.1°C,124,Dental Disease
Cat,American Shorthair,13.1,Female,6.0,fever,,,nasal discharge,4 days,Yes,No,Yes,No,No,No,No,No,No,39.8°C,182,Upper Respiratory Infection
