Age,Weight,Breed,Gender,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease
7.0,5.2,Bengal,Female,hair loss,itching,none,none,2,no,no,no,no,no,no,yes,no,no,38.2,166,skin allergy
1.0,4.6,Maine Coon,Male,lethargy,vomiting,weight loss,none,1,no,yes,no,no,no,no,no,no,no,38.6,214,chronic kidney disease
12.0,5.1,Persian,Female,diarrhea,weight loss,none,none,3,no,no,yes,no,no,no,no,no,no,38.3,167,worm infestation
12.0,3.9,Maine Coon,Male,blood in urine,frequent urination,painful urination,none,2,no,no,no,no,no,no,no,no,no,38.3,180,urinary tract infection
5.0,4.2,Maine Coon,Male,squinting,weight loss,none,none,3,no,no,no,no,no,no,no,no,no,38.7,165,chronic kidney disease
15.0,3.6,Siamese,Female,diarrhea,fever,lethargy,vomiting,2,no,yes,yes,no,no,no,no,no,no,39.5,203,anemia
5.0,3.8,Bengal,Female,diarrhea,lethargy,loss of appetite,vomiting,4,yes,yes,yes,no,no,no,no,no,no,38.0,167,chronic kidney disease
2.0,4.8,Bengal,Male,blood in urine,hair loss,itching,red eyes,3,no,no,no,no,no,no,yes,no,yes,38.3,204,feline conjunctivitis
9.0,2.7,Persian,Male,eye discharge,hair loss,itching,lethargy,2,no,no,no,no,no,no,yes,no,yes,38.5,162,anemia
6.0,4.8,Persian,Male,fever,hair loss,itching,red skin,7,no,no,no,no,no,no,yes,no,no,39.5,234,feline panleukopenia
10.0,3.5,Indian Domestic,Female,lethargy,sunken eyes,none,none,2,no,no,no,no,no,no,no,no,yes,38.6,177,dehydration
10.0,3.4,Siamese,Female,lethargy,nasal discharge,pale gums,weakness,1,no,no,no,no,no,no,no,yes,no,38.3,179,anemia
11.0,4.3,Persian,Male,weight loss,none,none,none,1,no,no,no,no,no,no,no,no,no,38.4,186,chronic kidney disease
13.0,5.4,Maine Coon,Female,increased thirst,none,none,none,2,no,no,no,no,no,no,no,no,no,38.6,180,chronic kidney disease
1.0,4.5,Bengal,Female,blood in urine,sunken eyes,none,none,3,no,no,no,no,no,no,no,no,yes,38.6,216,dehydration
8.0,5.3,Maine Coon,Male,hair loss,lethargy,loss of appetite,pale gums,1,yes,no,no,no,no,no,yes,no,no,38.8,167,anemia
8.0,6.7,Indian Domestic,Female,blood in urine,eye discharge,frequent urination,none,1,no,no,no,no,no,no,no,no,yes,38.2,170,feline conjunctivitis
2.0,3.2,Maine Coon,Female,dry gums,eye discharge,fever,lethargy,5,no,no,no,yes,no,no,no,no,yes,39.5,219,dehydration
4.0,5.0,Persian,Female,lethargy,sunken eyes,none,none,3,no,no,no,no,no,no,no,no,yes,38.0,165,dehydration
11.0,4.5,Siamese,Male,itching,red skin,none,none,5,no,no,no,no,no,no,yes,no,no,38.3,160,skin allergy
