Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction
Cow,Aberdeen Angus,1.73,Male,726.91,Lameness,Eye Discharge,<missing>,Labored Breathing,13 days,Yes,No,No,Yes,No,No,No,Yes,Yes,39.6°C,59.48,Respiratory Disease
Cow,Brown Swiss,0.1,Male,489.0,Weakness,Loss Of Appetite,Reduced Milk Production,Dehydration,3 days,Yes,No,No,No,No,No,No,No,No,39.5°C,121.0,Bovine Coccidiosis
Cow,Belted Galloway,10.69,Female,517.14,Diarrhea,Skin Lesions,Coughing,Dehydration,5 days,Yes,No,No,No,No,No,No,Yes,No,39.5°C,76.3,Mastitis
Cow,Gir,3.1,Male,333.4,Fever,Diarrhea,Dehydration,Weakness,14 days,Yes,No,Yes,No,Yes,No,,,,40.5,100.0,Salmonellosis
Cow,Hereford,8.14,Female,633.75,Coughing,Coughing,Vomiting,Diarrhea,14 days,Yes,No,No,Yes,Yes,No,No,Yes,Yes,39.8°C,64.53,Respiratory Disease
Cow,Limousin,6.0,Female,620.0,Weight Loss,Reduced Milk Production,Appetite Loss,Lethargy,10 days,Yes,Yes,No,Yes,No,Yes,No,No,Yes,39.4°C,85.0,Johne's Disease
Cow,Red Angus,8.1,Female,588.5,Lameness,Coughing,Diarrhea,Labored Breathing,13 days,No,No,Yes,Yes,No,No,No,Yes,No,40.7°C,80.0,Bovine Viral Diarrhea
Cow,Belted Galloway,4.85,Female,657.24,Dehydration,Skin Lesions,Vomiting,Fever,5 days,No,No,No,Yes,Yes,No,No,Yes,Yes,40.3°C,64.63,Respiratory Disease
Cow,Charolais,8.8,Female,505.6,Anorexia,Labored Breathing,Eye Discharge,Coughing,8 days,Yes,No,No,No,No,No,No,No,No,39.7°C,73.0,Mastitis
Cow,Brown Swiss,8.0,Male,377.7,Eye Discharge,Vomiting,Diarrhea,Skin Lesions,8 days,No,No,Yes,No,No,No,No,No,No,39.6°C,60.0,Parasitic Infection
Cow,Shorthorn,8.9,Male,633.6,Respiratory Signs,Eye Discharge,Coughing,Dehydration,12 hours,No,No,Yes,No,No,No,No,Yes,Yes,39.0°C,75.0,Bovine Viral Diarrhea
Cow,Gir,2.07,Male,592.52,Vomiting,Labored Breathing,Diarrhea,Coughing,2 weeks,No,No,No,Yes,Yes,No,No,No,No,39.9°C,75.73,Respiratory Disease
Cow,Sahiwal,3.1,Male,546.23,Coughing,Nasal Discharge,Fever,Labored Breathing,5 days,Yes,No,No,Yes,Yes,No,No,Yes,No,40.1°C,84.36,Foot and Mouth Disease
Cow,Shorthorn,0.5,Male,520.1,Weakness,Diarrhea,Skin Lesions,Nasal Discharge,3 days,Yes,No,No,Yes,No,No,No,Yes,No,40.2°C,125.0,Respiratory Disease
Cow,Gir,9.58,Male,620.26,Vomiting,Coughing,Lameness,Fever,13 days,No,No,Yes,No,No,No,No,Yes,No,38.3°C,83.19,Bovine Viral Diarrhea
Cow,Dexter,5.1,Female,598.7,Fever,Weakness,Diarrhea,Vomiting,17 hours,Yes,No,Yes,Yes,Yes,No,No,No,No,39.5°C,76.0,Bovine Viral Diarrhea
Cow,Ayrshire,11.8,Female,414.0,Nasal Discharge,Dehydration,Rumen Issues,Eye Discharge,12 days,Yes,No,No,No,No,Yes,No,No,No,39.3°C,64.0,Foot and Mouth Disease
Cow,Jersey,8.8,Male,182.5,Coughing,Fever,Nasal Discharge,Lethargy,20 days,Yes,Yes,No,No,No,No,,,,40.7,97.0,Bovine Respiratory Disease
Cow,Red Poll,7.4,Male,531.1,Lameness,Anorexia,Fever,Eye Discharge,8 days,No,No,No,No,No,Yes,No,No,No,39.4°C,64.0,Mastitis
Cow,Charolais,3.9,Male,496.6,Vomiting,Respiratory Signs,Nasal Discharge,Diarrhea,12 days,No,No,Yes,No,No,No,No,Yes,Yes,39.1°C,70.0,Bovine Viral Diarrhea
Cow,Brahman,4.72,Female,438.22,Lameness,Weakness,Labored Breathing,<missing>,11 days,No,No,Yes,No,No,No,No,No,No,38.5°C,74.62,Bovine Viral Diarrhea
Cow,Sahiwal,1.09,Male,621.33,Coughing,Labored Breathing,Nasal Discharge,Anorexia,6 days,Yes,No,No,Yes,No,No,Yes,No,No,39.1°C,54.18,Foot and Mouth Disease
Cow,Angus,1.14,Female,682.46,Coughing,Labored Breathing,Fever,Coughing,1 days,No,No,No,Yes,Yes,No,No,No,No,40.1°C,84.41,Respiratory Disease
Cow,Shorthorn,1.17,Female,496.35,Loss Of Appetite,Abdominal Pain,Bloody Feces,Dehydration,6 days,Yes,No,Yes,No,No,No,No,No,No,39.2°C,69.79,Bovine Coccidiosis
Cow,Brown Swiss,8.0,Male,520.4,Vomiting,Fever,Nasal Discharge,Eye Discharge,1 days,No,No,No,Yes,No,No,No,No,No,38.6°C,64.0,Respiratory Disease
Cow,Belted Galloway,11.1,Female,572.5,Nasal Discharge,Skin Lesions,Nasal Discharge,Diarrhea,4 days,Yes,No,No,Yes,No,No,No,No,No,40.0°C,63.0,Respiratory Disease
Cow,Dexter,7.8,Male,561.0,Weakness,Nasal Discharge,Eye Discharge,Fever,2 days,Yes,No,No,No,No,No,No,Yes,Yes,40.5°C,77.0,Respiratory Disease
Cow,Red Poll,1.5,Female,574.0,Reduced Milk Production,Loss Of Appetite,Abdominal Pain,Diarrhea,8 days,Yes,No,Yes,No,No,No,No,No,No,40.1°C,66.0,Bovine Coccidiosis
