Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction
Cow,Aberdeen Angus,1.73,Male,726.91,Lameness,Eye Discharge,<missing>,Labored Breathing,13 days,Yes,No,No,Yes,No,No,No,Yes,Yes,39.6°C,59.48,Respiratory Disease
Cow,Brown Swiss,0.1,Male,489.0,Weakness,Loss Of Appetite,Reduced Milk Production,Dehydration,3 days,Yes,No,No,No,No,No,No,No,No,39.5°C,121.0,Bovine Coccidiosis
Cow,Belted Galloway,10.69,Female,517.14,Diarrhea,Skin Lesions,Coughing,Dehydration,5 days,Yes,No,No,No,No,No,No,Yes,No,39.5°C,76.3,Mastitis
Dog,Bulldog,0.4,Female,13.9,Lethargy,Fever,Dehydration,Vomiting,7 days,Yes,Yes,Yes,No,No,No,No,No,No,39.7°C,140.0,Parvovirus
Dog,Dalmatian,5.4,Female,54.77,Coughing,Diarrhea,Fever,Eye_Discharge,13 days,Yes,No,No,Yes,Yes,No,No,Yes,Yes,39.9°C,124.47,Canine Distemper
Dog,Rottweiler,5.9,Male,66.7,Lethargy,Labored Breathing,Eye Discharge,Vomiting,14 days,Yes,Yes,Yes,No,No,No,Yes,No,No,39.1°C,116.0,Gastroenteritis
Cow,Gir,3.1,Male,333.4,Fever,Diarrhea,Dehydration,Weakness,14 days,Yes,No,Yes,No,Yes,No,,,,40.5,100.0,Salmonellosis
Cow,Hereford,8.14,Female,633.75,Coughing,Coughing,Vomiting,Diarrhea,14 days,Yes,No,No,Yes,Yes,No,No,Yes,Yes,39.8°C,64.53,Respiratory Disease
Dog,Border Collie,3.7,Male,8.0,Coughing,Skin Lesions,Vomiting,Nasal_Discharge,6 days,Yes,Yes,No,Yes,Yes,No,No,No,No,38.8°C,97.0,Canine Distemper
Dog,Bulldog,12.95,Male,19.89,Difficulty Rising,<missing>,Reluctance To Play,Stiffness,10 days,Yes,No,Yes,No,No,Yes,No,No,No,38.8°C,130.38,Arthritis
Dog,Corgi,5.61,Male,24.57,Coughing,Anorexia,Nasal_Discharge,Vomiting,12 days,Yes,No,Yes,Yes,Yes,No,No,No,Yes,39.8°C,84.24,Canine Distemper
Cow,Limousin,6.0,Female,620.0,Weight Loss,Reduced Milk Production,Appetite Loss,Lethargy,10 days,Yes,Yes,No,Yes,No,Yes,No,No,Yes,39.4°C,85.0,Johne's Disease
Cow,Red Angus,8.1,Female,588.5,Lameness,Coughing,Diarrhea,Labored Breathing,13 days,No,No,Yes,Yes,No,No,No,Yes,No,40.7°C,80.0,Bovine Viral Diarrhea
Cow,Belted Galloway,4.85,Female,657.24,Dehydration,Skin Lesions,Vomiting,Fever,5 days,No,No,No,Yes,Yes,No,No,Yes,Yes,40.3°C,64.63,Respiratory Disease
Dog,Husky,3.85,Female,6.56,Labored Breathing,Lethargy,Coughing,Appetite Loss,6 days,Yes,No,Yes,No,Yes,Yes,No,No,No,39.3°C,137.72,Canine Flu
Cow,Charolais,8.8,Female,505.6,Anorexia,Labored Breathing,Eye Discharge,Coughing,8 days,Yes,No,No,No,No,No,No,No,No,39.7°C,73.0,Mastitis
Cow,Brown Swiss,8.0,Male,377.7,Eye Discharge,Vomiting,Diarrhea,Skin Lesions,8 days,No,No,Yes,No,No,No,No,No,No,39.6°C,60.0,Parasitic Infection
Dog,Cocker Spaniel,3.0,Female,34.2,Nasal_Discharge,Coughing,Skin Lesions,Coughing,7 days,No,No,Yes,Yes,Yes,No,No,Yes,No,38.3°C,72.0,Kennel Cough
Dog,Golden Retriever,6.52,Male,28.92,Lethargy,Diarrhea,Loss Of Appetite,Vomiting,6 days,Yes,No,Yes,Yes,No,No,Yes,No,No,39.5°C,127.73,Canine Parvovirus
Dog,Doberman Pinscher,6.1,Female,35.83,Persistent Cough,<missing>,Fever,Lethargy,19 days,Yes,No,No,Yes,No,No,No,No,No,39.8°C,102.01,Canine Influenza
Dog,Chihuahua,9.0,Male,2.0,Vomiting,Loss Of Appetite,Diarrhea,Lethargy,2 days,Yes,Yes,No,No,No,Yes,No,No,Yes,39.1°C,128.0,Gastroenteritis
Cow,Shorthorn,8.9,Male,633.6,Respiratory Signs,Eye Discharge,Coughing,Dehydration,12 hours,No,No,Yes,No,No,No,No,Yes,Yes,39.0°C,75.0,Bovine Viral Diarrhea
Dog,Labrador,3.4,Male,28.4,Eye Discharge,Lameness,Weakness,Vomiting,4 days,Yes,No,No,No,No,Yes,Yes,No,No,38.5°C,78.0,Lyme Disease
Cow,Gir,2.07,Male,592.52,Vomiting,Labored Breathing,Diarrhea,Coughing,2 weeks,No,No,No,Yes,Yes,No,No,No,No,39.9°C,75.73,Respiratory Disease
Dog,Golden Retriever,5.1,Female,16.6,Fever,Vomiting,Abdominal Pain,Jaundice,12 days,Yes,Yes,No,No,No,No,,,,40.2,107.0,Canine Hepatitis
Dog,Yorkshire Terrier,9.02,Male,33.32,Abdominal Pain,<missing>,Vomiting,Fever,16 days,Yes,Yes,No,No,No,No,,,,42.47,76.87,Canine Hepatitis
Dog,Labrador,5.12,Female,2.74,Fever,Eye Discharge,Weakness,Nasal_Discharge,9 days,Yes,Yes,No,Yes,Yes,No,No,Yes,No,39.1°C,88.94,Canine Distemper
Dog,Border Collie,12.4,Female,27.7,Stiffness,Reluctance To Play,Lethargy,Change In Gait,4 days,No,No,No,No,No,Yes,No,No,Yes,38.9°C,128.0,Arthritis
