Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction
Dog,Mixed,2.8,Female,37.1,Appetite_Loss,Vomiting,Lethargy,Diarrhea,1,Yes,Yes,Yes,No,No,No,No,No,No,40.6°C,123,Parvovirus
Dog,German Shepherd,2.7,Male,49.0,Diarrhea,Fever,Vomiting,None,6,No,Yes,Yes,No,No,No,No,No,No,38.8°C,117,Salmonella Variant
Dog,Beagle,8.3,Male,13.2,Coughing,Skin_Lesions,Dehydration,Nasal_Discharge,9,No,No,No,Yes,No,No,Yes,Yes,No,40.0°C,108,Canine Distemper
Dog,Labrador,6.4,Female,31.4,Weight_Loss,Dehydration,Diarrhea,Vomiting,3,No,Yes,Yes,No,No,No,No,No,No,40.0°C,130,Canine Parvovirus Variant
Cow,Hereford,4.6,Female,464.9,Drooling,Fever,Weight_Loss,Lameness,1,No,No,No,No,No,Yes,No,No,No,39.7°C,92,Foot and Mouth Disease
Dog,Bulldog,8.8,Female,32.0,Itching,Appetite_Loss,Diarrhea,Weight_Loss,2,Yes,No,Yes,No,No,No,No,No,No,37.8°C,92,Parasitic Infection
Dog,Labrador,5.7,Female,34.1,Nasal_Discharge,Eye_Discharge,Lethargy,Coughing,3,No,No,No,Yes,No,No,No,Yes,Yes,38.4°C,113,Kennel Cough
Cow,Angus,4.5,Male,441.4,Lethargy,Fever,Anemia,None,7,No,No,No,No,No,No,No,No,No,39.3°C,63,Tick-Borne Disease
Cow,Mixed,1.3,Female,384.6,Fever,Anemia,Drooling,Lethargy,5,No,No,No,No,No,No,No,No,No,39.3°C,50,Tick-Borne Disease
Cow,Friesian,5.4,Female,546.3,Coughing,Nasal_Discharge,Fever,Labored_Breathing,1,No,No,No,Yes,No,No,No,Yes,No,39.6°C,75,Bovine Respiratory Syncytial Virus
Cow,Mixed,2.9,Male,429.3,Fever,Diarrhea,Weight_Loss,Lethargy,4,No,No,Yes,No,No,No,No,No,No,38.7°C,67,Bovine Coccidiosis
Dog,German Shepherd,2.6,Female,28.9,Lameness,Lethargy,Fever,Appetite_Loss,1,Yes,No,No,No,No,Yes,No,No,No,39.2°C,118,Tick-Borne Disease
Dog,Mixed,0.1,Female,37.6,Vomiting,Fever,Lethargy,Appetite_Loss,1,Yes,Yes,No,No,No,No,No,No,No,40.9°C,109,Canine Leptospirosis
Cow,Angus,0.1,Male,316.0,Vomiting,Dehydration,Diarrhea,None,2,No,Yes,Yes,No,No,No,No,No,No,39.4°C,61,Gastrointestinal Infection
Dog,Mixed,2.5,Female,21.3,Fever,Weight_Loss,Diarrhea,Lethargy,7,No,No,Yes,No,No,No,No,No,No,39.7°C,65,Bovine Coccidiosis
Cow,Angus,0.6,Male,562.8,Lethargy,Fever,Anemia,None,1,No,No,No,No,No,No,No,No,No,38.6°C,62,Tick-Borne Disease
Dog,German Shepherd,5.6,Female,42.0,Fever,Nasal_Discharge,Vomiting,Lethargy,7,No,Yes,No,No,No,No,No,Yes,No,39.7°C,113,Canine Hepatitis
Cow,Holstein,5.3,Female,490.4,Appetite_Loss,Fever,Nasal_Discharge,Diarrhea,2,Yes,No,Yes,No,No,No,No,Yes,No,40.2°C,80,Bovine Viral Diarrhea
Cow,Jersey,1.4,Female,373.2,Swollen_Udder,Fever,Decreased_Milk,None,2,No,No,No,No,No,No,No,No,No,39.0°C,70,Mastitis Variant
Cow,Jersey,7.3,Female,394.8,Diarrhea,Dehydration,Vomiting,None,8,No,Yes,Yes,No,No,No,No,No,No,40.0°C,137,Canine Parvovirus Variant
Dog,Poodle,0.9,Male,20.6,Appetite_Loss,Diarrhea,Vomiting,Lethargy,5,Yes,Yes,Yes,No,No,No,No,No,No,40.1°C,132,Parvovirus
Cow,Mixed,8.2,Male,571.4,Fever,Appetite_Loss,Nasal_Discharge,Diarrhea,7,Yes,No,Yes,No,No,No,No,Yes,No,40.3°C,87,Bovine Viral Diarrhea
Dog,Beagle,5.5,Male,31.8,Vomiting,Appetite_Loss,Lethargy,Jaundice,3,Yes,Yes,No,No,No,No,No,No,No,40.1°C,110,Canine Leptospirosis
Dog,Bulldog,8.0,Female,25.4,Dehydration,Nasal_Discharge,Coughing,Fever,5,No,No,No,Yes,No,No,No,Yes,No,39.0°C,107,Kennel Cough Variant
Dog,Bulldog,3.5,Male,19.8,Vomiting,Dehydration,Diarrhea,None,2,No,Yes,Yes,No,No,No,No,No,No,38.7°C,139,Canine Parvovirus Variant
Dog,Labrador,6.2,Male,14.8,Nasal_Discharge,Lethargy,Coughing,Eye_Discharge,6,No,No,No,Yes,No,No,No,Yes,Yes,39.5°C,102,Kennel Cough
Cow,Hereford,8.9,Male,357.4,Lethargy,Diarrhea,Decreased_Milk,Weight_Loss,7,No,No,Yes,No,No,No,No,No,No,38.6°C,59,Johnes Disease
Cow,Holstein,3.3,Male,521.5,Fever,Swollen_Udder,Decreased_Milk,None,2,No,No,No,No,No,No,No,No,No,40.2°C,71,Mastitis Variant
Dog,Beagle,3.1,Female,39.3,Diarrhea,Fever,Drooling,Vomiting,12,No,Yes,Yes,No,No,No,No,No,No,40.1°C,129,Salmonella Variant
Cow,Mixed,9.2,Male,352.5,Fever,Coughing,Eye_Discharge,Nasal_Discharge,2,No,No,No,Yes,No,No,No,Yes,Yes,39.4°C,96,Bovine Respiratory Disease
Dog,Mixed,7.0,Male,28.0,Coughing,Fever,Nasal_Discharge,None,3,No,No,No,Yes,No,No,No,Yes,No,39.6°C,101,Kennel Cough Variant
Dog,Labrador,3.9,Male,31.9,Skin_Lesions,Itching,Hair_Loss,None,6,No,No,No,No,No,No,Yes,No,No,39.0°C,94,Skin Infection
Dog,Poodle,2.9,Male,20.8,Nasal_Discharge,Fever,Lethargy,Vomiting,2,No,Yes,No,No,No,No,No,Yes,No,40.3°C,124,Canine Hepatitis
Cow,Hereford,8.5,Male,437.0,Appetite_Loss,Nasal_Discharge,Fever,Diarrhea,1,Yes,No,Yes,No,No,No,No,Yes,No,40.0°C,78,Bovine Viral Diarrhea
Cow,Angus,3.3,Male,459.0,Fever,Nasal_Discharge,Appetite_Loss,Diarrhea,1,Yes,No,Yes,No,No,No,No,Yes,No,39.6°C,76,Bovine Viral Diarrhea
Dog,Labrador,4.7,Female,25.5,Appetite_Loss,Lethargy,Vomiting,Diarrhea,5,Yes,Yes,Yes,No,No,No,No,No,No,39.7°C,114,Parvovirus
Cow,Jersey,4.7,Male,322.6,Fever,Dehydration,Diarrhea,Lethargy,12,No,No,Yes,No,No,No,No,No,No,40.1°C,80,Salmonellosis
Cow,Friesian,3.9,Female,627.2,Fever,Lethargy,Swollen_Udder,Decreased_Milk,2,No,No,No,No,No,No,No,No,No,40.1°C,81,Mastitis
Dog,Beagle,1.9,Female,10.3,Diarrhea,Appetite_Loss,Vomiting,Lethargy,2,Yes,Yes,Yes,No,No,No,No,No,No,40.2°C,131,Parvovirus
Cow,Holstein,5.6,Male,514.2,Diarrhea,Fever,Weight_Loss,Lethargy,3,No,No,Yes,No,No,No,No,No,No,38.5°C,58,Bovine Coccidiosis
Cow,Angus,0.1,Female,230.1,Fever,Lethargy,Anemia,None,1,No,No,No,No,No,No,No,No,No,39.5°C,77,Tick-Borne Disease
Dog,Bulldog,3.1,Male,26.4,Diarrhea,Weight_Loss,Appetite_Loss,Lethargy,4,Yes,No,Yes,No,No,No,No,No,No,38.9°C,102,Parasitic Infection
Dog,Labrador,0.8,Male,42.1,Diarrhea,Weight_Loss,Appetite_Loss,Lethargy,1,Yes,No,Yes,No,No,No,No,No,No,37.8°C,93,Parasitic Infection
Cow,Jersey,0.1,Male,714.5,Lethargy,Coughing,Weight_Loss,Fever,8,No,No,No,Yes,No,No,No,No,No,39.2°C,67,Bovine Tuberculosis
Cow,Jersey,5.1,Male,426.7,Appetite_Loss,Lethargy,Diarrhea,Vomiting,1,Yes,Yes,Yes,No,No,No,No,No,No,40.2°C,131,Parvovirus
Dog,Bulldog,2.7,Male,44.3,Lethargy,Swelling,Lameness,Pain,1,No,No,No,No,No,Yes,No,No,No,38.5°C,88,Arthritis
Cow,Angus,5.0,Male,80.0,Dehydration,Vomiting,Diarrhea,None,1,No,Yes,Yes,No,No,No,No,No,No,38.7°C,86,Gastrointestinal Infection
Dog,German Shepherd,6.1,Male,23.5,Fever,Swelling,Lethargy,Appetite_Loss,5,Yes,No,No,No,No,No,No,No,No,40.8°C,117,Canine Leptospirosis
Cow,Hereford,2.3,Male,543.7,Lethargy,Decreased_Milk,Fever,Swollen_Udder,3,No,No,No,No,No,No,No,No,No,39.6°C,79,Mastitis
Dog,Labrador,5.0,Male,29.6,Diarrhea,Dehydration,Appetite_Loss,Vomiting,2,Yes,Yes,Yes,No,No,No,No,No,No,39.0°C,116,Gastroenteritis
Dog,Beagle,6.8,Female,39.6,Lethargy,Vomiting,Appetite_Loss,Fever,3,Yes,Yes,No,No,No,No,No,No,No,40.0°C,128,Canine Leptospirosis
Cow,Friesian,5.9,Male,473.4,Lethargy,Decreased_Milk,Diarrhea,Weight_Loss,2,No,No,Yes,No,No,No,No,No,No,38.8°C,58,Johnes Disease
Dog,Poodle,4.2,Female,29.7,Nasal_Discharge,Fever,Coughing,None,1,No,No,No,Yes,No,No,No,Yes,No,39.1°C,90,Kennel Cough Variant
Cow,Holstein,6.9,Male,468.0,Weight_Loss,Lethargy,Fever,Swollen_Udder,1,No,No,No,No,No,No,No,No,No,40.0°C,73,Mastitis
Cow,Friesian,5.2,Male,279.7,Diarrhea,Decreased_Milk,Lethargy,Weight_Loss,4,No,No,Yes,No,No,No,No,No,No,38.8°C,69,Parasitic Infection
Cow,Hereford,1.8,Female,543.4,Coughing,Lethargy,Fever,Weight_Loss,2,No,No,No,Yes,No,No,No,No,No,39.1°C,75,Bovine Tuberculosis
Dog,Beagle,6.5,Female,35.5,Lethargy,Lameness,Fever,Appetite_Loss,1,Yes,No,No,No,No,Yes,No,No,No,39.1°C,110,Tick-Borne Disease
Cow,Friesian,4.8,Male,236.7,Weight_Loss,Lethargy,Dehydration,Diarrhea,2,No,No,Yes,No,No,No,No,No,No,39.0°C,73,Johnes Disease
Dog,German Shepherd,4.0,Male,39.9,Vomiting,Dehydration,Diarrhea,None,1,No,Yes,Yes,No,No,No,No,No,No,40.6°C,120,Canine Parvovirus Variant
Cow,Holstein,1.4,Male,368.9,Diarrhea,Dehydration,Vomiting,None,2,No,Yes,Yes,No,No,No,No,No,No,39.0°C,75,Gastrointestinal Infection
Cow,Friesian,2.8,Male,408.6,Swollen_Udder,Decreased_Milk,Fever,None,1,No,No,No,No,No,No,No,No,No,39.5°C,73,Mastitis Variant
Cow,Angus,7.0,Female,403.4,Nasal_Discharge,Coughing,Eye_Discharge,None,9,No,No,No,Yes,No,No,No,Yes,Yes,39.3°C,65,Respiratory Disease
Dog,Beagle,7.6,Male,15.8,Hair_Loss,Itching,Skin_Lesions,None,2,No,No,No,No,No,No,Yes,No,No,39.1°C,94,Skin Infection
Dog,Beagle,8.3,Female,36.1,Fever,Lethargy,Lameness,Appetite_Loss,8,Yes,No,No,No,No,Yes,No,No,No,39.3°C,93,Tick-Borne Disease
Cow,Angus,4.0,Female,494.2,Eye_Discharge,Nasal_Discharge,Coughing,None,2,No,No,No,Yes,No,No,No,Yes,Yes,39.2°C,81,Respiratory Disease
Dog,Poodle,4.8,Male,26.2,Diarrhea,Vomiting,Dehydration,None,7,No,Yes,Yes,No,No,No,No,No,No,39.8°C,127,Canine Parvovirus Variant
Dog,German Shepherd,5.7,Male,22.8,Lethargy,Coughing,Eye_Discharge,Nasal_Discharge,8,No,No,No,Yes,No,No,No,Yes,Yes,39.5°C,101,Kennel Cough
Cow,Holstein,2.6,Male,603.2,Drooling,Fever,Lameness,Weight_Loss,3,No,No,No,No,No,Yes,No,No,No,40.8°C,74,Foot and Mouth Disease
Dog,Beagle,4.9,Female,43.6,Lethargy,Vomiting,Diarrhea,Appetite_Loss,1,Yes,Yes,Yes,No,No,No,No,No,No,40.4°C,138,Parvovirus
Dog,Beagle,2.0,Female,18.8,Lameness,Appetite_Loss,Lethargy,Fever,1,Yes,No,No,No,No,Yes,No,No,No,40.7°C,114,Tick-Borne Disease
Dog,German Shepherd,4.5,Male,32.8,Swelling,Lameness,Lethargy,Pain,8,No,No,No,No,No,Yes,No,No,No,38.5°C,88,Arthritis
Cow,Jersey,7.7,Female,504.8,Lethargy,Fever,Anemia,None,1,No,No,No,No,No,No,No,No,No,39.3°C,58,Tick-Borne Disease
Cow,Jersey,0.1,Male,542.1,Fever,Lethargy,Anemia,None,4,No,No,No,No,No,No,No,No,No,39.2°C,76,Tick-Borne Disease
Dog,Mixed,7.0,Male,52.8,Diarrhea,Dehydration,Drooling,Vomiting,1,No,Yes,Yes,No,No,No,No,No,No,39.8°C,124,Canine Parvovirus Variant
Cow,Hereford,0.1,Female,470.3,Weight_Loss,Fever,Lameness,Drooling,1,No,No,No,No,No,Yes,No,No,No,40.2°C,79,Foot and Mouth Disease
Dog,German Shepherd,0.1,Female,38.1,Diarrhea,Appetite_Loss,Vomiting,Lethargy,8,Yes,Yes,Yes,No,No,No,No,No,No,39.1°C,124,Gastroenteritis
Dog,Labrador,6.9,Male,26.2,Weight_Loss,Lethargy,Diarrhea,Appetite_Loss,2,Yes,No,Yes,No,No,No,No,No,No,38.3°C,94,Parasitic Infection
Dog,Labrador,5.9,Male,19.5,Lameness,Lethargy,Pain,Swelling,3,No,No,No,No,No,Yes,No,No,No,38.4°C,83,Arthritis
Cow,Hereford,0.5,Female,460.3,Nasal_Discharge,Eye_Discharge,Coughing,None,1,No,No,No,Yes,No,No,No,Yes,Yes,39.6°C,75,Respiratory Disease
Dog,German Shepherd,8.0,Female,37.9,Appetite_Loss,Lethargy,Vomiting,Fever,9,Yes,Yes,No,No,No,No,No,No,No,40.4°C,109,Canine Leptospirosis
Dog,Labrador,9.3,Male,35.9,Fever,Nasal_Discharge,Coughing,None,7,No,No,No,Yes,No,No,No,Yes,No,39.3°C,110,Kennel Cough Variant
Dog,German Shepherd,8.6,Female,18.4,Vomiting,Diarrhea,Lethargy,Dehydration,3,No,Yes,Yes,No,No,No,No,No,No,39.8°C,122,Canine Parvovirus Variant
Cow,Friesian,1.4,Female,459.8,Fever,Diarrhea,Dehydration,Lethargy,2,No,No,Yes,No,No,No,No,No,No,39.5°C,79,Salmonellosis
Dog,Mixed,5.9,Male,11.2,Lethargy,Lameness,Appetite_Loss,Fever,2,Yes,No,No,No,No,Yes,No,No,No,39.2°C,96,Lyme Disease
Dog,Poodle,5.4,Male,39.7,Lethargy,Coughing,Eye_Discharge,Nasal_Discharge,2,No,No,No,Yes,Yes,No,No,Yes,Yes,39.3°C,106,Kennel Cough
Cow,Jersey,2.4,Female,498.9,Fever,Swollen_Udder,Decreased_Milk,None,4,No,No,No,No,No,No,No,No,No,39.6°C,73,Mastitis Variant
Cow,Angus,6.4,Male,300.5,Nasal_Discharge,Fever,Labored_Breathing,Coughing,12,No,No,No,Yes,No,No,No,Yes,No,40.4°C,85,Bovine Respiratory Syncytial Virus
Cow,Holstein,1.3,Male,530.9,Fever,Nasal_Discharge,Eye_Discharge,Coughing,1,No,No,No,Yes,No,No,No,Yes,Yes,39.0°C,82,Bovine Respiratory Disease
Cow,Friesian,5.5,Male,547.8,Swollen_Udder,Decreased_Milk,Fever,None,7,No,No,No,No,No,No,No,No,No,39.8°C,70,Mastitis Variant
Cow,Hereford,4.1,Female,466.2,Decreased_Milk,Swollen_Udder,Fever,Lethargy,1,No,No,No,No,No,No,No,No,No,40.3°C,73,Mastitis
Dog,Beagle,3.9,Male,34.0,Fever,Appetite_Loss,Lameness,Lethargy,5,Yes,No,No,No,No,Yes,No,No,No,39.0°C,82,Tick-Borne Disease
Dog,Bulldog,10.3,Female,57.9,Anemia,Fever,Lethargy,None,3,No,No,No,No,No,No,No,No,No,39.3°C,75,Tick-Borne Disease
